Substance rA rB rX nA nB nX xX
Ce2EuSe4 1.196 1.17 1.98 3.0 2.0 -2.0 0.2240328
Ho2CdSe4 1.072 0.95 1.98 3.0 2.0 -2.0 0.2240328
Rb2CrO4 1.63 0.44 1.4 1.0 6.0 -2.0 0.304575
Li2VCl4 0.92 0.79 1.81 1.0 2.0 -1.0 0.263803
Tb2CdSe4 1.095 0.95 1.98 3.0 2.0 -2.0 0.2240328
Sm2CdSe4 1.132 0.95 1.98 3.0 2.0 -2.0 0.2240328
Pr2CdSe4 1.179 0.95 1.98 3.0 2.0 -2.0 0.2240328
Pr2CdS4 1.179 0.95 1.84 3.0 2.0 -2.0 0.23596
Nd2CdSe4 1.163 0.95 1.98 3.0 2.0 -2.0 0.2240328
Cs2ZnCl4 1.78 0.74 1.81 1.0 2.0 -1.0 0.263803
Nd2CdS4 1.163 0.95 1.84 3.0 2.0 -2.0 0.23596
Cs2MgCl4 1.78 0.72 1.81 1.0 2.0 -1.0 0.263803
Cs2CuCl4 1.78 0.73 1.81 1.0 2.0 -1.0 0.263803
Tl2CoCl4 1.59 0.745 1.81 1.0 2.0 -1.0 0.263803
Na2CoCl4 1.24 0.745 1.81 1.0 2.0 -1.0 0.263803
K2CoCl4 1.55 0.745 1.81 1.0 2.0 -1.0 0.263803
Cs2CoCl4 1.78 0.745 1.81 1.0 2.0 -1.0 0.263803
Ce2SrSe4 1.196 1.18 1.98 3.0 2.0 -2.0 0.2240328
Ce2SrS4 1.196 1.18 1.84 3.0 2.0 -2.0 0.23596
Sm2CeS4 1.32 1.01 1.84 2.5 3.0 -2.0 0.23596
Ce2PbSe4 1.196 1.19 1.98 3.0 2.0 -2.0 0.2240328
Nd2CeS4 1.35 1.01 1.84 2.5 3.0 -2.0 0.23596
CaYbInSe4 1.111 0.8 1.98 2.5 3.0 -2.0 0.2240328
Yb2MgSe4 1.042 0.72 1.98 3.0 2.0 -2.0 0.2240328
Tm2MgSe4 1.052 0.72 1.98 3.0 2.0 -2.0 0.2240328
MnNaAsO4 1.1 0.46 1.4 1.5 5.0 -2.0 0.304575
Li2NiF4 0.92 0.69 1.33 1.0 2.0 -1.0 0.344443
Pr2EuSe4 1.179 1.17 1.98 3.0 2.0 -2.0 0.2240328
Dy2CaS4 1.083 1.0 1.84 3.0 2.0 -2.0 0.23596
Li2ZnBr4 0.92 0.74 1.96 1.0 2.0 -1.0 0.2412578
Tm2CdS4 1.052 0.95 1.84 3.0 2.0 -2.0 0.23596
MnScGaS4 0.915 0.62 1.84 2.5 3.0 -2.0 0.23596
NaSrAsO4 1.275 0.46 1.4 1.5 5.0 -2.0 0.304575
LiMnAsO4 0.94 0.46 1.4 1.5 5.0 -2.0 0.304575
Li2MnBr2Cl2 0.92 0.83 1.885 1.0 2.0 -1.0 0.2525304
LiScGeO4 0.895 0.53 1.4 2.0 4.0 -2.0 0.304575
HoNaGeO4 1.156 0.53 1.4 2.0 4.0 -2.0 0.304575
GdNaGeO4 1.1735 0.53 1.4 2.0 4.0 -2.0 0.304575
Fe2GeO4 0.92 0.53 1.4 2.0 4.0 -2.0 0.304575
CdNaAsO4 1.17 0.46 1.4 1.5 5.0 -2.0 0.304575
LiNaBeF4 1.08 0.45 1.33 1.0 2.0 -1.0 0.344443
K2WS4 1.55 0.6 1.84 1.0 6.0 -2.0 0.23596
Cs2MoSe4 1.78 0.59 1.98 1.0 6.0 -2.0 0.2240328
