Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX,fold_4
Ce2SrS4,th3p4,0,1,Ce,Ce,Sr,Sr,S,S,1.196,1.18,1.84,0.23596,test
Dy2CaS4,th3p4,0,1,Dy,Dy,Ca,Ca,S,S,1.083,1.0,1.84,0.23596,test
Mn2GeO4,olivine,0,1,Mn,Mn,Ge,Ge,O,O,0.96,0.53,1.4,0.304575,test
Li2NiF4,spinel,0,1,Li,Li,Ni,Ni,F,F,0.92,0.69,1.33,0.344443,test
Y2MgSe4,spinel,0,1,Y,Y,Mg,Mg,Se,Se,1.075,0.72,1.98,0.2240328,test
Yb2MgSe4,spinel,0,1,Yb,Yb,Mg,Mg,Se,Se,1.042,0.72,1.98,0.2240328,test
Lu2CdSe4,spinel,0,1,Lu,Lu,Cd,Cd,Se,Se,1.032,0.95,1.98,0.2240328,test
CaYbInSe4,olivine,0,1,Ca,Yb,In,In,Se,Se,1.111,0.8,1.98,0.2240328,test
Nd2CeS4,th3p4,0,1,Nd,Nd,Ce,Ce,S,S,1.35,1.01,1.84,0.23596,test
Ce2PbSe4,th3p4,0,1,Ce,Ce,Pb,Pb,Se,Se,1.196,1.19,1.98,0.2240328,test
Sm2CeS4,th3p4,0,1,Sm,Sm,Ce,Ce,S,S,1.32,1.01,1.84,0.23596,test
Ce2YbS4,th3p4,0,1,Ce,Ce,Yb,Yb,S,S,1.196,1.02,1.84,0.23596,test
Mn2TcO4,spinel,0,1,Mn,Mn,Tc,Tc,O,O,0.96,0.645,1.4,0.304575,test
Ce2SrSe4,th3p4,0,1,Ce,Ce,Sr,Sr,Se,Se,1.196,1.18,1.98,0.2240328,test
Cs2CoCl4,k2so4,0,1,Cs,Cs,Co,Co,Cl,Cl,1.78,0.745,1.81,0.263803,test
K2CoCl4,k2so4,0,1,K,K,Co,Co,Cl,Cl,1.55,0.745,1.81,0.263803,test
Li2CoCl4,spinel,0,1,Li,Li,Co,Co,Cl,Cl,0.92,0.745,1.81,0.263803,test
Na2CoCl4,olivine,0,1,Na,Na,Co,Co,Cl,Cl,1.24,0.745,1.81,0.263803,test
Cs2CuCl4,k2so4,0,1,Cs,Cs,Cu,Cu,Cl,Cl,1.78,0.73,1.81,0.263803,test
Cs2MgCl4,k2so4,0,1,Cs,Cs,Mg,Mg,Cl,Cl,1.78,0.72,1.81,0.263803,test
Nd2CdS4,th3p4,0,1,Nd,Nd,Cd,Cd,S,S,1.163,0.95,1.84,0.23596,test
Cs2ZnCl4,k2so4,0,1,Cs,Cs,Zn,Zn,Cl,Cl,1.78,0.74,1.81,0.263803,test
Nd2CdSe4,th3p4,0,1,Nd,Nd,Cd,Cd,Se,Se,1.163,0.95,1.98,0.2240328,test
Na2ZnBr4,olivine,0,1,Na,Na,Zn,Zn,Br,Br,1.24,0.74,1.96,0.2412578,test
Li2ZnBr4,olivine,0,1,Li,Li,Zn,Zn,Br,Br,0.92,0.74,1.96,0.2412578,test
MnScGaS4,olivine,0,1,Mn,Sc,Ga,Ga,S,S,0.915,0.62,1.84,0.23596,test
