Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
Sm2PdO4,0.0,1.0,1.132,0.86,1.4,3.0,2.0,-2.0,0.304575,train
Rb2CoBr4,0.0,1.0,1.63,0.745,1.96,1.0,2.0,-1.0,0.2412578,train
La2CaS4,0.0,1.0,1.216,1.0,1.84,3.0,2.0,-2.0,0.23596,train
Cu2GeO4,0.0,1.0,0.73,0.53,1.4,2.0,4.0,-2.0,0.304575,train
Rb2CoI4,0.0,1.0,1.63,0.745,2.2,1.0,2.0,-1.0,0.2195175999999999,train
Fe2CoO4,0.0,1.0,0.78,0.745,1.4,3.0,2.0,-2.0,0.304575,train
Cs2CoI4,0.0,1.0,1.78,0.745,2.2,1.0,2.0,-1.0,0.2195175999999999,train
Rb2ZnCl4,0.0,1.0,1.63,0.74,1.81,1.0,2.0,-1.0,0.263803,train
Mn2CoO4,0.0,1.0,0.96,0.53,1.4,2.0,4.0,-2.0,0.304575,train
In2CrS4,0.0,1.0,0.92,0.8,1.84,3.0,2.0,-2.0,0.23596,train
K2CrO4,0.0,1.0,1.55,0.44,1.4,1.0,6.0,-2.0,0.304575,train
Pr2EuS4,0.0,1.0,1.179,1.17,1.84,3.0,2.0,-2.0,0.23596,train
Eu2ZnO4,0.0,1.0,1.12,0.74,1.4,3.0,2.0,-2.0,0.304575,train
Eu2SiO4,0.0,1.0,1.3,0.4,1.4,2.0,4.0,-2.0,0.304575,train
La2EuSe4,0.0,1.0,1.216,1.17,1.98,3.0,2.0,-2.0,0.2240328,train
Er2ZnS4,0.0,1.0,1.062,0.74,1.84,3.0,2.0,-2.0,0.23596,train
Er2MgSe4,0.0,1.0,1.062,0.72,1.98,3.0,2.0,-2.0,0.2240328,train
Dy2YbS4,0.0,1.0,1.083,1.02,1.84,3.0,2.0,-2.0,0.23596,train
In2CoS4,0.0,1.0,0.92,0.745,1.84,3.0,2.0,-2.0,0.23596,train
Lu2CaO4,0.0,1.0,1.032,1.0,1.4,3.0,2.0,-2.0,0.304575,train
Gd2CdTe4,0.0,1.0,1.107,0.95,2.21,3.0,2.0,-2.0,0.2056992,train
Gd2CdS4,0.0,1.0,1.107,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Er2CdSe4,0.0,1.0,1.062,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Er2CdS4,0.0,1.0,1.062,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Dy2CdTe4,0.0,1.0,1.083,0.95,2.21,3.0,2.0,-2.0,0.2056992,train
Dy2CdS4,0.0,1.0,1.083,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Cs2CdI4,0.0,1.0,1.78,0.95,2.2,1.0,2.0,-1.0,0.2195175999999999,train
Ce2CdS4,0.0,1.0,1.196,0.95,1.84,3.0,2.0,-2.0,0.23596,train
Ca2SnS4,0.0,1.0,1.18,0.69,1.84,2.0,4.0,-2.0,0.23596,train
Cs2BaBr4,0.0,1.0,1.78,1.35,1.96,1.0,2.0,-1.0,0.2412578,train
Cs2BaCl4,0.0,1.0,1.78,1.35,1.81,1.0,2.0,-1.0,0.263803,train
Rb2MnI4,0.0,1.0,1.63,0.83,2.2,1.0,2.0,-1.0,0.2195175999999999,train
FeMnSiO4,0.0,1.0,0.94,0.4,1.4,2.0,4.0,-2.0,0.304575,train
Ho2YbS4,0.0,1.0,1.072,1.02,1.84,3.0,2.0,-2.0,0.23596,train
