Substance,f.e,n,rA,rB,rX,xX,fold_3
Sm2ZnO4,1.3489824325000015,1.0,1.132,0.74,1.4,0.304575,train
Na2MoO4,-1.724703928750003,1.0,1.24,0.59,1.4,0.304575,train
Cs2ZnBr4,-0.0195675381249991,1.0,1.78,0.74,1.96,0.2412578,train
Zn2SnO4,3.86755737,1.0,0.9,0.69,1.4,0.304575,train
LuNaSiO4,-0.3812926181249985,1.0,1.136,0.4,1.4,0.304575,train
LiTmSiO4,0.223520024374995,1.0,0.986,0.4,1.4,0.304575,train
LiScSiO4,0.6817319531249986,1.0,0.895,0.4,1.4,0.304575,train
NaYbGeO4,-1.5146460704166709,1.0,1.141,0.53,1.4,0.304575,train
MgMnSiO4,1.366045234999998,1.0,0.925,0.4,1.4,0.304575,train
NaYGeO4,-0.737544222916668,1.0,1.1575,0.53,1.4,0.304575,train
NaTbGeO4,-0.6325413922916638,1.0,1.1675,0.53,1.4,0.304575,train
NaSmGeO4,-0.9504971154166632,1.0,1.186,0.53,1.4,0.304575,train
MnZnGeO4,1.7559482333333385,1.0,0.93,0.53,1.4,0.304575,train
MnNiGeS4,3.692888265000001,1.0,0.825,0.53,1.84,0.23596,train
MgMnGeO4,1.5293678733333316,1.0,0.925,0.53,1.4,0.304575,train
LuNaGeO4,-0.4665748897916693,1.0,1.136,0.53,1.4,0.304575,train
LiYGeO4,0.115676982083329,1.0,0.9975,0.53,1.4,0.304575,train
NaTmGeO4,-0.5567255522916703,1.0,1.146,0.53,1.4,0.304575,train
Ag2MoO4,0.9394042062499964,1.0,1.28,0.59,1.4,0.304575,train
Ce2CdSe4,2.7873158112500027,1.0,1.196,0.95,1.98,0.2240328,train
SmPrCuO4,0.7218955674999954,1.0,1.1555,0.73,1.4,0.304575,train
SmGdCuO4,0.86090680625,1.0,1.1195,0.73,1.4,0.304575,train
PrGdCuO4,0.8858585187499983,1.0,1.143,0.73,1.4,0.304575,train
Pr2CaS4,3.419027042500004,1.0,1.179,1.0,1.84,0.23596,train
Eu2CuO4,0.3136117362499995,1.0,1.12,0.73,1.4,0.304575,train
Ca2SiS4,2.235883515000001,1.0,1.18,0.4,1.84,0.23596,train
