Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
SrPrFeO4,RP,1,1,1.83,1.741890765,1,Sr,Pr,Fe,Fe,O,O,9,9,6,6,6,1.2445,0.645,1.4,2.5,3.0,-2.0,0.1452941,0.1392532,0.304575,5.5839336,7.9024678,13.618054,3.5,8.0,6.0,Handbook,True,SrPrFeO4
SrLaCrO4,RP,1,1,1.83,1.745888419,1,Sr,La,Cr,Cr,O,O,9,9,6,6,6,1.263,0.615,1.4,2.5,3.0,-2.0,0.1408251,0.1313053,0.304575,5.6358836,6.76651,13.618054,2.5,6.0,6.0,Handbook,True,SrLaCrO4
CaGdAlO4,RP,1,1,1.83,1.836554243,0,Ca,Gd,Al,Al,O,O,9,9,6,6,6,1.1435,0.535,1.4,2.5,3.0,-2.0,0.15490595,0.150078,0.304575,6.1314756,5.9857684,13.618054,6.0,3.0,6.0,Handbook,True,CaGdAlO4
CaEuAlO4,RP,1,1,1.83,1.834086774,0,Ca,Eu,Al,Al,O,O,9,9,6,6,6,1.15,0.535,1.4,2.5,3.0,-2.0,0.15267345,0.150078,0.304575,5.8917701,5.9857684,13.618054,5.5,3.0,6.0,Handbook,True,CaEuAlO4
CaErAlO4,RP,1,1,1.83,1.845429457,0,Ca,Er,Al,Al,O,O,9,9,6,6,6,1.121,0.535,1.4,2.5,3.0,-2.0,0.16383645,0.150078,0.304575,6.1104276,5.9857684,13.618054,8.0,3.0,6.0,Handbook,True,CaErAlO4
SrGdAlO4,RP,1,1,1.83,1.813640682,1,Sr,Gd,Al,Al,O,O,9,9,6,6,6,1.2085,0.535,1.4,2.5,3.0,-2.0,0.1564541,0.150078,0.304575,5.9223316,5.9857684,13.618054,6.0,3.0,6.0,Handbook,True,SrGdAlO4
CeEuAlO4,RP,1,1,1.83,1.801431152,1,Ce,Eu,Al,Al,O,O,9,9,6,6,6,1.248,0.535,1.4,2.5,3.0,-2.0,0.1787725,0.150078,0.304575,5.6044925,5.9857684,13.618054,6.5,3.0,6.0,Handbook,True,CeEuAlO4
Sr2VO4,RP,1,1,1.83,1.749664538,1,Sr,Sr,V,V,O,O,9,9,6,6,6,1.31,0.58,1.4,2.0,4.0,-2.0,0.1185082,0.1273344,0.304575,5.6948672,6.746187,13.618054,2.0,5.0,6.0,Handbook,True,Sr2VO4
Gd2NiO4,RP,1,1,1.83,1.812935283,1,Gd,Gd,Ni,Ni,O,O,9,9,6,6,6,1.107,0.69,1.4,3.0,2.0,-2.0,0.1944,0.1472068,0.304575,6.149796,7.639877,13.618054,10.0,10.0,6.0,Handbook,True,Gd2NiO4
SrLaAlO4,RP,1,1,1.83,1.797091952,1,Sr,La,Al,Al,O,O,9,9,6,6,6,1.263,0.535,1.4,2.5,3.0,-2.0,0.1408251,0.150078,0.304575,5.6358836,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True,SrLaAlO4
SrLaGaO4,RP,1,1,1.83,1.743663369,1,Sr,La,Ga,Ga,O,O,9,9,6,6,6,1.263,0.62,1.4,2.5,3.0,-2.0,0.1408251,0.1723773,0.304575,5.6358836,5.9993018,13.618054,2.5,3.0,6.0,Handbook,True,SrLaGaO4
SrNdGaO4,RP,1,1,1.83,1.754103056,1,Sr,Nd,Ga,Ga,O,O,9,9,6,6,6,1.2365,0.62,1.4,2.5,3.0,-2.0,0.1475236,0.1723773,0.304575,5.6099336,5.9993018,13.618054,4.0,3.0,6.0,Handbook,True,SrNdGaO4
