Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total,Unitless
(((rX-rA)/rA)+sqrt(exp(-rB))),0.867647059,0.768881579,4,6,9,
(exp(sqrt(rB))-exp((rX/rA))),0.867647059,0.768881579,3,5,8,
((exp(-rA)/(xX)^2)/exp(sqrt(rB))),0.867647059,0.768881579,3,7,9,
((exp(rA))^-1-((rX/rA))^2),0.867647059,0.785701754,3,6,9,
((rX*exp(rA))/((rA-rX))^2),0.867647059,0.768881579,4,5,9,
(((rA+rB)/(rB+rX)))^2,0.867647059,0.785701754,4,4,8,
((rX/rB)*log((rA/rX))),0.867647059,0.785701754,4,4,8,
((exp(rX)/(rA+rX))/sqrt(rA)),0.867647059,0.785701754,4,5,9,
((rA*(rA+rB))-(rX)^2),0.867647059,0.785701754,4,4,8,
log(((rA+rB)/(rB+rX))),0.867647059,0.785701754,4,4,8,
(((rA/rX))^2*sqrt((rB/rX))),0.867647059,0.785701754,4,5,9,
((rA-rX)/(rA+rB)),0.867647059,0.785701754,4,3,7,
((sqrt(rA)-sqrt(rX))/(rB*xX)),0.867647059,0.785701754,4,5,9,
exp(((rA+rB)/(rB+rX))),0.867647059,0.785701754,4,4,8,
exp(((rA-rX)/(rA+rB))),0.867647059,0.785701754,4,4,8,
(((rX/rA))^2*sqrt(sqrt(rX))),0.867647059,0.785701754,3,5,8,
((exp(rB)/rB)*exp((rX-rA))),0.867647059,0.785701754,4,5,9,
(((rX/rA))^2-sqrt(exp(-rA))),0.867647059,0.785701754,3,6,8,
(exp((rA+rB))/((rA-rX))^2),0.867647059,0.785701754,4,5,9,
(((rA+rX)*sqrt(rA))/exp(rX)),0.867647059,0.785701754,4,5,9,
(((rA-rX)/xX)/sqrt(log(rX))),0.867647059,0.785701754,4,5,9,
((rX/rA)*(sqrt(rA)-sqrt(rX))),0.867647059,0.785679825,4,5,9,
(sqrt((rB/rX))-((rX/rA))^2),0.867647059,0.785679825,4,5,9,
(((rX/rA))^2+(exp(-rB))^2),0.867647059,0.785679825,3,6,8,
(((rA/rX))^2*sqrt(exp(rB))),0.867647059,0.768881579,3,5,8,
(sqrt(exp(rB))*((xX)^2*exp(rA))),0.867647059,0.768881579,3,6,9,
(exp((rA/rX))+exp(-sqrt(rX))),0.867647059,0.785679825,3,6,8,
((rX/rA)+(sqrt(xX)/exp(rB))),0.867647059,0.768859649,4,5,9,
(((rX/rA)*sqrt(rX))-sqrt(rA)),0.867647059,0.785679825,4,5,9,
(((rX/rA))^2*exp((rX-rA))),0.867647059,0.785679825,4,5,9,
((rB/(rX)^2)+(exp(rA)/rX)),0.867647059,0.768859649,4,5,9,
(((rA-rX)*exp(rA))/log(rX)),0.867647059,0.785679825,4,5,9,
(exp(-(rA+rB))-exp((rA-rX))),0.867647059,0.785679825,4,6,9,
(exp(-xX)+exp((rA-rX))),0.867647059,0.785679825,3,5,7,
(((rA/rX))^2*exp((rA-rX))),0.867647059,0.785679825,4,5,9,
((rA-rX)*exp((rX)^-1)),0.867647059,0.785679825,3,5,8,
(log((rA/rX))/(rB*(xX)^2)),0.867647059,0.785679825,4,5,9,
((exp(rX))^-1-((rX/rA))^2),0.867647059,0.785679825,3,6,9,
((rA-rX)/log((rB+rX))),0.867647059,0.783574561,4,4,8,
((exp(rB)/rB)*exp((rX/rA))),0.867647059,0.770986842,4,5,9,
