Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX
Ni2GeO4,spinel,0,1,Ni,Ni,Ge,Ge,O,O,0.69,0.53,1.4,0.304575
La2SrS4,th3p4,0,1,La,La,Sr,Sr,S,S,1.216,1.18,1.84,0.23596
La2PbSe4,th3p4,0,1,La,La,Pb,Pb,Se,Se,1.216,1.19,1.98,0.2240328
La2PbS4,th3p4,0,1,La,La,Pb,Pb,S,S,1.216,1.19,1.84,0.23596
Sr2NiO2Cl2,high-tc,0,1,Sr,Sr,Ni,Ni,O,Cl,1.31,0.69,1.605,0.284189
K2WSe4,k2so4,0,1,K,K,W,W,Se,Se,1.55,0.6,1.98,0.2240328
K2MoS4,k2so4,0,1,K,K,Mo,Mo,S,S,1.55,0.59,1.84,0.23596
In2ZnS4,spinel,0,1,In,In,Zn,Zn,S,S,0.92,0.74,1.84,0.23596
In2MnSe4,spinel,0,1,In,In,Mn,Mn,Se,Se,0.92,0.83,1.98,0.2240328
In2MnS4,spinel,0,1,In,In,Mn,Mn,S,S,0.92,0.83,1.84,0.23596
In2MnO4,spinel,0,1,In,In,Mn,Mn,O,O,0.92,0.83,1.4,0.304575
In2MgO4,spinel,0,1,In,In,Mg,Mg,O,O,0.92,0.72,1.4,0.304575
Li2MoO4,spinel,0,1,Li,Li,Mo,Mo,O,O,0.92,0.59,1.4,0.304575
Sm2ZnO4,spinel,0,1,Sm,Sm,Zn,Zn,O,O,1.132,0.74,1.4,0.304575
Cs2MnBr4,k2so4,0,1,Cs,Cs,Mn,Mn,Br,Br,1.78,0.83,1.96,0.2412578
Na2MoO4,spinel,0,1,Na,Na,Mo,Mo,O,O,1.24,0.59,1.4,0.304575
Cs2ZnBr4,k2so4,0,1,Cs,Cs,Zn,Zn,Br,Br,1.78,0.74,1.96,0.2412578
Zn2SnO4,spinel,0,1,Zn,Zn,Sn,Sn,O,O,0.9,0.69,1.4,0.304575
LuNaSiO4,olivine,0,1,Lu,Na,Si,Si,O,O,1.136,0.4,1.4,0.304575
LiTmSiO4,olivine,0,1,Li,Tm,Si,Si,O,O,0.986,0.4,1.4,0.304575
LiScSiO4,olivine,0,1,Li,Sc,Si,Si,O,O,0.895,0.4,1.4,0.304575
LiInSiO4,olivine,0,1,Li,In,Si,Si,O,O,0.92,0.4,1.4,0.304575
NaYbGeO4,olivine,0,1,Na,Yb,Ge,Ge,O,O,1.141,0.53,1.4,0.304575
MgMnSiO4,olivine,0,1,Mg,Mn,Si,Si,O,O,0.925,0.4,1.4,0.304575
NaYGeO4,olivine,0,1,Na,Y,Ge,Ge,O,O,1.1575,0.53,1.4,0.304575
NaTbGeO4,olivine,0,1,Na,Tb,Ge,Ge,O,O,1.1675,0.53,1.4,0.304575
NaSmGeO4,olivine,0,1,Na,Sm,Ge,Ge,O,O,1.186,0.53,1.4,0.304575
MnZnGeO4,olivine,0,1,Mn,Zn,Ge,Ge,O,O,0.93,0.53,1.4,0.304575
MnNiGeS4,olivine,0,1,Mn,Ni,Ge,Ge,S,S,0.825,0.53,1.84,0.23596
MgMnGeO4,olivine,0,1,Mg,Mn,Ge,Ge,O,O,0.925,0.53,1.4,0.304575
LuNaGeO4,olivine,0,1,Lu,Na,Ge,Ge,O,O,1.136,0.53,1.4,0.304575
LiYGeO4,olivine,0,1,Li,Y,Ge,Ge,O,O,0.9975,0.53,1.4,0.304575
NaTmGeO4,olivine,0,1,Na,Tm,Ge,Ge,O,O,1.146,0.53,1.4,0.304575
NaSrVO4,k2so4,0,1,Na,Sr,V,V,O,O,1.275,0.54,1.4,0.304575
Ag2MoO4,spinel,0,1,Ag,Ag,Mo,Mo,O,O,1.28,0.59,1.4,0.304575
Cs2WS4,k2so4,0,1,Cs,Cs,W,W,S,S,1.78,0.6,1.84,0.23596
Ce2CdSe4,th3p4,0,1,Ce,Ce,Cd,Cd,Se,Se,1.196,0.95,1.98,0.2240328
Fe2CuO4,spinel,0,1,Fe,Fe,Cu,Cu,O,O,0.78,0.73,1.4,0.304575
EuPrCuO4,high-tc,0,1,Eu,Pr,Cu,Cu,O,O,1.1495000000000002,0.73,1.4,0.304575
SmPrCuO4,high-tc,0,1,Sm,Pr,Cu,Cu,O,O,1.1555,0.73,1.4,0.304575
SmGdCuO4,high-tc,0,1,Sm,Gd,Cu,Cu,O,O,1.1195,0.73,1.4,0.304575
PrGdCuO4,high-tc,0,1,Pr,Gd,Cu,Cu,O,O,1.143,0.73,1.4,0.304575
Pr2CaS4,th3p4,0,1,Pr,Pr,Ca,Ca,S,S,1.179,1.0,1.84,0.23596
Eu2CuO4,high-tc,0,1,Eu,Eu,Cu,Cu,O,O,1.12,0.73,1.4,0.304575
Ca2SiS4,olivine,0,1,Ca,Ca,Si,Si,S,S,1.18,0.4,1.84,0.23596
Yb2CaS4,th3p4,0,1,Yb,Yb,Ca,Ca,S,S,1.042,1.0,1.84,0.23596
Tl2CoBr4,k2so4,0,1,Tl,Tl,Co,Co,Br,Br,1.59,0.745,1.96,0.2412578
K2CoBr4,k2so4,0,1,K,K,Co,Co,Br,Br,1.55,0.745,1.96,0.2412578
Cs2CoBr4,k2so4,0,1,Cs,Cs,Co,Co,Br,Br,1.78,0.745,1.96,0.2412578
