Substance rA rB rX xX
Nd2YbS4 1.163 1.02 1.84 0.23596
Mg2GeS4 0.89 0.53 1.84 0.23596
Sc2FeS4 0.87 0.78 1.84 0.23596
Fe2SiS4 0.92 0.4 1.84 0.23596
Fe2SnS4 0.92 0.69 1.84 0.23596
Gd2ZnS4 1.107 0.74 1.84 0.23596
Mg2GeO4 0.89 0.53 1.4 0.304575
La2SrSe4 1.216 1.18 1.98 0.2240328
K2PbCl4 1.55 1.19 1.81 0.263803
K2EuCl4 1.55 1.17 1.81 0.263803
Cd2SnO4 1.1 0.69 1.4 0.304575
K2SrCl4 1.55 1.18 1.81 0.263803
Ce2PbS4 1.196 1.19 1.84 0.23596
Ce2EuSe4 1.196 1.17 1.98 0.2240328
Rb2CrO4 1.63 0.44 1.4 0.304575
Li2ZnCl4 0.92 0.74 1.81 0.263803
Li2VCl4 0.92 0.79 1.81 0.263803
Li2MgCl4 0.92 0.72 1.81 0.263803
K2ZnCl4 1.55 0.74 1.81 0.263803
Y2CdSe4 1.075 0.95 1.98 0.2240328
Tm2CdSe4 1.052 0.95 1.98 0.2240328
Tb2CdSe4 1.095 0.95 1.98 0.2240328
Sm2CdSe4 1.1320000000000001 0.95 1.98 0.2240328
Yb2CdS4 1.042 0.95 1.84 0.23596
Pr2CdSe4 1.179 0.95 1.98 0.2240328
Pr2CdS4 1.179 0.95 1.84 0.23596
Nd2CdSe4 1.163 0.95 1.98 0.2240328
Nd2CdS4 1.163 0.95 1.84 0.23596
Tl2CoCl4 1.59 0.745 1.81 0.263803
Na2CoCl4 1.24 0.745 1.81 0.263803
Li2CoCl4 0.92 0.745 1.81 0.263803
Cs2CoCl4 1.78 0.745 1.81 0.263803
Ce2YbS4 1.196 1.02 1.84 0.23596
Ce2SrS4 1.196 1.18 1.84 0.23596
Sm2CeS4 1.32 1.01 1.84 0.23596
Lu2CdSe4 1.032 0.95 1.98 0.2240328
Yb2MgSe4 1.042 0.72 1.98 0.2240328
Y2MgSe4 1.075 0.72 1.98 0.2240328
Tm2MgSe4 1.052 0.72 1.98 0.2240328
MnNaAsO4 1.1 0.46 1.4 0.304575
Li2NiF4 0.92 0.69 1.33 0.344443
Pr2EuSe4 1.179 1.17 1.98 0.2240328
Mn2GeO4 0.96 0.53 1.4 0.304575
Dy2CaS4 1.083 1.0 1.84 0.23596
Na2ZnBr4 1.24 0.74 1.96 0.2412578
Li2ZnBr4 0.92 0.74 1.96 0.2412578
Tm2CdS4 1.052 0.95 1.84 0.23596
NaSrAsO4 1.275 0.46 1.4 0.304575
Li2MnBr2Cl2 0.92 0.83 1.885 0.2525304
LiScGeO4 0.895 0.53 1.4 0.304575
LiInGeO4 0.92 0.53 1.4 0.304575
GdNaGeO4 1.1735 0.53 1.4 0.304575
RbBaVO4 1.5499999999999998 0.54 1.4 0.304575
LiNaBeF4 1.08 0.45 1.33 0.344443
K2WS4 1.55 0.6 1.84 0.23596
Cs2MoSe4 1.78 0.59 1.98 0.2240328
Ba2VO4 1.47 0.58 1.4 0.304575
Mg2SiO4 0.89 0.4 1.4 0.304575
EuNaGeO4 1.1800000000000002 0.53 1.4 0.304575
ErNaGeO4 1.151 0.53 1.4 0.304575
CoMnGeS4 0.9299999999999999 0.53 1.84 0.23596
CoMnGeO4 0.9299999999999999 0.53 1.4 0.304575
CaMnSiO4 1.0699999999999998 0.4 1.4 0.304575
CaMgSiO4 1.035 0.4 1.4 0.304575
KCaVO4 1.365 0.54 1.4 0.304575
CaYGaO4 1.1275 0.62 1.4 0.304575
CaLaGaO4 1.198 0.62 1.4 0.304575
KSrAsO4 1.4300000000000002 0.46 1.4 0.304575
CaNaAsO4 1.21 0.46 1.4 0.304575
Sc2MgSe4 0.87 0.72 1.98 0.2240328
Cs2MnI4 1.78 0.83 2.2 0.21951759999999998
Ni2RhS4 0.69 0.6 1.84 0.23596
Zn2PdO4 0.9 0.615 1.4 0.304575
Mn2TcO4 0.96 0.645 1.4 0.304575
Lu2ZnS4 1.032 0.74 1.84 0.23596
Mg2PtO4 0.89 0.625 1.4 0.304575
Sc2MgO4 0.87 0.72 1.4 0.304575
Mg2SnO4 0.89 0.69 1.4 0.304575
Mg2TiO4 0.89 0.605 1.4 0.304575
Tm2MgS4 1.052 0.72 1.84 0.23596
Mn2ScO4 0.96 0.745 1.4 0.304575
Yb2MgS4 1.042 0.72 1.84 0.23596
Cs2MoS4 1.78 0.59 1.84 0.23596
Ni2FeS4 0.69 0.645 1.84 0.23596
NaBaAsO4 1.355 0.46 1.4 0.304575
NaBaVO4 1.355 0.54 1.4 0.304575
Yb2ZnS4 1.042 0.74 1.84 0.23596
Sm2ZnS4 1.1320000000000001 0.74 1.84 0.23596
Sc2ZnS4 0.87 0.74 1.84 0.23596
Rb2WSe4 1.63 0.6 1.98 0.2240328
Pr2YbS4 1.179 1.02 1.84 0.23596
Zn2ZrO4 0.9 0.72 1.4 0.304575
Zn2TiO4 0.9 0.605 1.4 0.304575
LiMgAsO4 0.905 0.46 1.4 0.304575
Fe2GeS4 0.92 0.53 1.84 0.23596
Y2YbS4 1.075 1.02 1.84 0.23596
Yb2CaO4 1.042 1.0 1.4 0.304575
