Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total
((rB+rX)/(rA+rB)),0.8676470588235294,0.785701754385965,4,3,7
((rA-rX)*((xX)^2+sqrt(xX))),0.8676470588235294,0.785701754385965,4,5,9
((exp(rX)+exp(-rA))/exp(rA)),0.8676470588235294,0.7857236842105264,3,6,8
(((rA/rX)*sqrt(rA))-sqrt(rX)),0.8676470588235294,0.7857236842105264,4,5,9
(exp(sqrt(rA))*(exp(rX)/(rA)^2)),0.8676470588235294,0.785701754385965,3,6,9
(((rB-rX)/rA)-(rB/rX)),0.8676470588235294,0.7857236842105264,5,4,9
(rA/((rA-rX))^2),0.8676470588235294,0.7667982456140351,3,3,6
(((rA/rX))^2/sqrt((rB+rX))),0.8676470588235294,0.7877631578947369,4,5,9
(((rX/rA))^2*sqrt((rB+rX))),0.8676470588235294,0.7877631578947369,4,5,9
(((rB)^2*(rA-rB))/log(rX)),0.8676470588235294,0.7667763157894737,4,5,9
((rA-rX)*exp((rB/rA))),0.8676470588235294,0.7877631578947369,4,4,8
((rX/exp(rA))-(rB/exp(rX))),0.8676470588235294,0.7667763157894736,4,5,9
(((rA/rX))^2*exp(sqrt(rB))),0.8676470588235294,0.7667763157894736,3,5,8
(((rX/rA))^2/exp(sqrt(rB))),0.8676470588235294,0.7667763157894736,3,5,8
((exp(rB)-exp(rX))/(exp(rA))^2),0.8676470588235294,0.7667763157894736,3,6,9
(exp((rX/rA))/sqrt(sqrt(rB))),0.8676470588235294,0.7667763157894736,3,5,8
(sqrt(sqrt(rB))/exp((rX/rA))),0.8676470588235294,0.7667763157894736,3,5,8
(xX*((rA+rB)+(rA-rX))),0.8676470588235294,0.7667763157894736,5,4,9
((exp(rA))^2/(exp(rB)-exp(rX))),0.8676470588235294,0.7667763157894736,3,6,9
(exp((rX-rA))+exp(-(rB*rX))),0.8676470588235294,0.7667763157894736,4,6,9
(((rX-rA)/rB)-sqrt(xX)),0.8676470588235294,0.7877850877192982,4,4,8
exp(((rB*xX)+(rX-rA))),0.8676470588235294,0.7877412280701754,4,4,8
(exp(sqrt(rB))/((rX/rA)-xX)),0.8676470588235294,0.7667982456140351,4,5,9
(sqrt((rA/rX))/((rA-rX))^2),0.8676470588235294,0.7667982456140351,4,5,9
((rA-rX)*sqrt((xX/rB))),0.8676470588235294,0.7857236842105264,4,4,8
(((rX-rA)/xX)-(rA+rB)),0.8676470588235294,0.7857236842105264,5,4,9
(((rX/rA))^2/exp((rB/rX))),0.8676470588235294,0.7857236842105264,4,5,9
(((rA-rX)/rB)-(rX/rA)),0.8676470588235294,0.7857236842105264,5,4,9
((rB/(rA+rX))-(rX/rA)),0.8676470588235294,0.7857236842105264,5,4,9
(exp(rA)/(exp(rX)+exp(-rA))),0.8676470588235294,0.7857236842105264,3,6,8
((sqrt(rA)/rX)*sqrt((rA+rB))),0.8676470588235294,0.7857236842105264,4,5,9
(exp(rA)/(exp(rX)+exp(-rB))),0.8676470588235294,0.7857456140350877,3,6,8
((rA-rX)/(sqrt(rA)+sqrt(rB))),0.8676470588235294,0.7857456140350877,4,5,9
((xX*exp(rB))/((rA-rX))^2),0.8676470588235294,0.7857456140350877,4,5,9
(exp((rX-rA))+exp(-(rB+rX))),0.8676470588235294,0.7857456140350877,4,6,9
((exp(rX)+exp(-rB))/exp(rA)),0.8676470588235294,0.7857456140350877,3,6,8
(((rA-rX))^2/(xX*exp(rB))),0.8676470588235294,0.7857456140350877,4,5,9
((rX/rA)/(exp(-rB)-exp(xX))),0.8676470588235294,0.7857456140350877,4,6,9
((exp(-rB)-exp(xX))/(rX/rA)),0.8676470588235294,0.7857456140350877,4,6,9
(exp((rX/rA))+exp(-(rB/rA))),0.8676470588235294,0.785701754385965,4,6,9
((rA*exp(rB))/((rA-rX))^2),0.8676470588235294,0.785701754385965,4,5,9
((sqrt(rA)/rX)/((rA-rX))^2),0.8676470588235294,0.7689035087719297,4,5,9
(((rX-rA)/sqrt(xX))-rB),0.8676470588235294,0.7856798245614035,4,4,8
(log((rA/rX))*(sqrt(rB)/xX)),0.8676470588235294,0.7856578947368421,4,5,9
(log((rA/rX))*sqrt((rB*rX))),0.8676470588235294,0.7856578947368421,4,5,9
((rA-rX)*exp((rB/rX))),0.8676470588235294,0.7856578947368421,4,4,8
(((rX/xX)-rX)/(rA)^2),0.8676470588235294,0.7688815789473684,4,4,8
((rX/rA)+sqrt(exp(-rB))),0.8676470588235294,0.7688815789473684,3,5,7
(((rX/rA))^2/sqrt(exp(rB))),0.8676470588235294,0.7688815789473684,3,5,8
((xX+(rA/rX))-sqrt(exp(-rB))),0.8676470588235294,0.7688815789473684,4,6,9
(sqrt((rX-rB))/(xX*exp(rA))),0.8676470588235294,0.7688815789473684,4,5,9
((rA-rX)+(rB*sqrt(xX))),0.8676470588235294,0.7856798245614035,4,4,8
(((rA*xX)*(rA+rB))/rX),0.8676470588235294,0.7688815789473684,5,4,9
(exp(sqrt(rB))*((xX)^2*exp(rA))),0.8676470588235294,0.7688815789473684,3,6,9
