Substance f.e rA rB rX xX
In2CuO4 3.0799509037499995 0.92 0.73 1.4 0.304575
Sm2CuO4 0.9854690349999976 1.132 0.73 1.4 0.304575
Tm2CuO4 1.6349389712499978 1.052 0.73 1.4 0.304575
Gd2PdO4 2.9964557550000013 1.107 0.86 1.4 0.304575
Gd2CuO4 1.001458377499997 1.107 0.73 1.4 0.304575
Sm2PdO4 1.9648269324999976 1.132 0.86 1.4 0.304575
Rb2CoBr4 0.3659380599999995 1.63 0.745 1.96 0.2412578
La2CaS4 2.7787361425 1.216 1.0 1.84 0.23596
Cu2GeO4 3.4443247983333336 0.73 0.53 1.4 0.304575
Cs2CoI4 0.4858121299999993 1.78 0.745 2.2 0.2195175999999999
Na2ZnCl4 0.9626974549999988 1.24 0.74 1.81 0.263803
Mn2CoO4 0.605810505000008 0.96 0.53 1.4 0.304575
Gd2CrS4 1.3906711074999922 1.107 0.8 1.84 0.23596
In2CrS4 2.4146656137500013 0.92 0.8 1.84 0.23596
K2CrO4 -1.6041385549999987 1.55 0.44 1.4 0.304575
Pr2EuS4 3.824905912500004 1.179 1.17 1.84 0.23596
Eu2ZnO4 1.0054834137499995 1.12 0.74 1.4 0.304575
Eu2SiO4 -0.2540888149999958 1.3 0.4 1.4 0.304575
La2EuSe4 3.4543484724999978 1.216 1.17 1.98 0.2240328
Er2MgSe4 2.1789428225 1.062 0.72 1.98 0.2240328
Dy2YbS4 4.119369745000002 1.083 1.02 1.84 0.23596
Co2GeO4 3.445280188333335 0.9 0.53 1.4 0.304575
In2CoS4 2.98610938375 0.92 0.745 1.84 0.23596
Lu2CaO4 5.171743633750003 1.032 1.0 1.4 0.304575
Ni2CoS4 4.653618091666669 0.69 0.53 1.84 0.23596
Gd2CdTe4 3.684888719999997 1.107 0.95 2.21 0.2056992
Gd2CdSe4 3.6066107700000014 1.107 0.95 1.98 0.2240328
Er2CdSe4 3.273750772500001 1.062 0.95 1.98 0.2240328
Er2CdS4 3.513678609999994 1.062 0.95 1.84 0.23596
